Country,"Life Exp
(0-10)","Well-being
(0-10)","Footprint
(gha/capita)"
Costa Rica,79.3,7.271053807,2.520027779
Vietnam,75.2,5.767344608,1.390974448
Jamaica,73.1,6.207881955,1.721922037
Belize,76.1,6.450644319,2.10917
Indonesia,69.4,5.457299414,1.12749177
El Salvador,72.2,6.739911151,1.993261915
Colombia,73.7,6.408113706,1.801067791
Bangladesh,68.9,4.985649184,0.656558837
Panama,76.1,7.32146749,2.965542307
Cuba,79.1,5.417868479,1.895394735
Israel,81.6,7.358916104,3.95816849
Venezuela,74.4,7.478454372,3.024572094
Nicaragua,74,5.686699354,1.559846601
Thailand,74.1,6.216703138,2.411844749
Guatemala,71.2,6.289748715,1.779610297
Philippines,68.7,4.941514141,0.982726997
Albania,76.9,5.268936604,1.811905593
Argentina,75.9,6.441067205,2.709071235
Chile,79.1,6.635655696,3.237786332
Algeria,73.1,5.236960708,1.648142319
Pakistan,65.4,5.267186141,0.753681571
Norway,81.1,7.632287552,4.769394107
Honduras,73.1,5.866131512,1.732866614
New Zealand,80.7,7.223756397,4.313162606
Mexico,77,6.802388634,3.297908687
Jordan,73.4,5.696180563,2.130497775
Laos,67.5,5.044098972,1.304032451
Ecuador,75.6,5.838051509,2.367701679
Peru,74,5.612785201,2.029934988
Switzerland,82.3,7.524520636,5.013066566
Brazil,73.5,6.837331186,2.934764729
Palestine,72.8,4.845216382,1.40122
Kyrgyzstan,67.7,4.996410812,1.289603429
India,65.4,4.989277403,0.869743782
Sri Lanka,74.9,4.180569262,1.206348983
Moldova,69.3,5.589736613,2.096280342
Guyana,69.9,5.992826473,2.08081
Iraq,69,5.016920811,1.420339232
United Kingdom,80.2,7.029364308,4.713109588
Morocco,72.2,4.383247344,1.323544342
Tajikistan,67.5,4.38063633,0.900642725
Austria,80.9,7.346035958,5.291345642
Germany,80.4,6.724530956,4.566273364
Tunisia,74.5,4.685980744,1.764817913
Sweden,81.4,7.496019064,5.708355966
Madagascar,66.7,4.640078923,1.156299394
France,81.5,6.797901112,4.910920759
Japan,83.4,6.05675259,4.170427112
Turkey,74,5.490347161,2.554784968
Nepal,68.8,3.809444659,0.759446374
Italy,81.9,6.354237976,4.524813012
Saudi Arabia,73.9,6.726918314,3.988496505
Cyprus,79.6,6.386546111,4.441846008
Dominican Republic,73.4,4.735021226,1.422579552
Netherlands,80.7,7.501875836,6.335531544
Uzbekistan,68.3,5.095342262,1.819811783
Georgia,73.7,4.101837086,1.433689035
Canada,81,7.650346263,6.428537676
Finland,80,7.393264207,6.211172688
Korea,80.6,6.116024412,4.618836885
Paraguay,72.5,5.841174116,2.994822431
Spain,81.4,6.188262653,4.74012615
Myanmar,65.2,5.321976944,1.935682715
Syria,75.9,4.065824276,1.454490753
China,73.5,4.652736639,2.130289282
Armenia,74.2,4.367811292,1.733440557
Ireland,80.6,7.257389644,6.215010755
Poland,76.1,5.780330168,3.937681316
Australia,81.9,7.405616149,6.68499159
Malaysia,74.2,5.580281601,3.900403258
Malta,79.6,5.773874815,4.25509
Haiti,62.1,3.765998727,0.598455905
Bolivia,66.6,5.780620289,2.606054729
Singapore,81.1,6.531401799,6.100923864
Slovakia,75.4,6.052223142,4.660814217
Lebanon,72.6,5.181676266,2.847759746
Bosnia and Herzegovina,75.7,4.668517409,2.738704294
Croatia,76.6,5.59557522,4.19358543
Malawi,54.2,5.148239502,0.775803788
Iceland,81.8,6.888284167,6.5393
Yemen,65.5,3.924141923,0.87118284
Serbia,74.5,4.461304407,2.567322768
Czech Republic,77.7,6.152203608,5.273965432
Romania,74,4.909165951,2.837321778
Slovenia,79.3,6.082555189,5.211423961
Namibia,62.5,4.885587122,2.033721701
Cambodia,63.1,4.161225375,1.19342113
Libya,74.8,4.920692304,3.187299719
